"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
2364,도산대로 렉서스 앞,강남구,10,37.5212,127.032
2312,청담역 13번 출구 앞,강남구,10,37.5206,127.056
2350,래미안그레이튼102동앞,강남구,10,37.4948,127.048
2361,압구정역 교차로,강남구,10,37.5268,127.028
2387,래미안강남힐즈 사거리,강남구,10,37.4725,127.096
2307,압구정 한양 3차 아파트,강남구,10,37.5286,127.039
2359,"국립국악중,고교 정문 맞은편",강남구,10,37.4756,127.05
2340,삼호물산버스정류장(23370) 옆,강남구,15,37.4775,127.045
2304,신영 ROYAL PALACE 앞,강남구,10,37.5125,127.036
2355,삼성역 5~6번 출구 사이,강남구,20,37.5091,127.062
2336,강남세브란스교차로  래미안그레이튼 104동 앞,강남구,10,37.4942,127.047
2311,학동로 래미안 아파트 앞,강남구,10,37.5178,127.043
2384,자곡사거리,강남구,10,37.476,127.106
2333,양재역 3번출구 주변,강남구,15,37.4852,127.034
2407,역삼.서초.삼성 세무서 앞 (역삼빌딩 앞),강남구,10,37.4985,127.03
2337,대모산입구역 2번출구 앞,강남구,15,37.4921,127.072
2330,스타벅스 앞,강남구,10,37.4922,127.039
2404,대모산입구역 4번 출구 앞,강남구,10,37.4918,127.073
2327,뱅뱅사거리 랜드마크타워 앞,강남구,15,37.4906,127.031
2301,현대고등학교 건너편,강남구,10,37.5241,127.022
2325,대치동 버거킹대치점,강남구,10,37.4986,127.059
2377,수서역 5번출구 뒤,강남구,10,37.4868,127.103
2322,삼성역 3번 출구,강남구,15,37.5081,127.063
2373,개포동역 사거리,강남구,20,37.4893,127.066
2394,래미안강남포레스트 입구 (보도육교),강남구,10,37.4791,127.055
2351,청소년수련관(수영장)앞,강남구,15,37.4839,127.089
2319,포스코4거리 서측(수협 삼성동 지점),강남구,10,37.5066,127.055
2383,보금자리정원,강남구,10,37.4663,127.095
2391,구룡마을 입구(개포1단지아파트),강남구,10,37.4793,127.064
2380,삼성동베이직하우스앞,강남구,15,37.5117,127.049
2368,도곡동 경남아파트 건너편,강남구,10,37.4893,127.041
2389,경기여자고등학교 후문 (삼성로3길 입구),강남구,15,37.4862,127.067
2348,포스코사거리(기업은행),강남구,20,37.5072,127.057
2352,서울본부세관(건설회관 앞),강남구,10,37.5176,127.035
2363,강남 을지병원 교차로,강남구,15,37.5192,127.027
2310,청담동 맥도날드 옆(위치),강남구,10,37.5236,127.04
2342,대청역 1번출구  뒤,강남구,10,37.494,127.08
2306,압구정역 2번 출구 옆,강남구,30,37.5271,127.029
2358,구룡초사거리 (현대아파트10동 앞 ),강남구,10,37.4814,127.054
2339,현대아파트 정문 앞,강남구,10,37.4833,127.052
2303,논현역 7번출구,강남구,15,37.5115,127.021
2386,sk 동우주유소 앞,강남구,10,37.5096,127.041
2356,강남구청,강남구,10,37.5181,127.047
2335,"3호선 매봉역 3번출구앞",강남구,10,37.4868,127.047
2317,삼성도로공원,강남구,10,37.5159,127.066
2332,선릉역3번출구,강남구,8,37.5042,127.049
2406,논현동 광명빌딩 앞,강남구,10,37.5176,127.024
2329,르네상스호텔사거리 역삼지하보도 2번출구,강남구,10,37.5024,127.043
2403,공무원연금매점 교차로 (개포주공9단지 입구),강남구,15,37.4887,127.075
2344,리엔파크 2단지 앞,강남구,10,37.4651,127.101
2324,천주교 대치 2동 교회 옆,강남구,10,37.5004,127.066
2376,수서역 6번출구 앞,강남구,20,37.4868,127.101
2398,더라움,강남구,10,37.5081,127.039
2321,학여울역 사거리,강남구,10,37.4961,127.069
2372,대치역 사거리,강남구,10,37.4945,127.064
2393,구룡사 앞 교차로 (보도육교),강남구,10,37.472,127.051
2318,삼성중앙역4번출구(문화센터더 리빌),강남구,15,37.5136,127.055
2382,역삼동 sk뷰 501동앞,강남구,11,37.5013,127.05
2370,한티역 3번출구,강남구,20,37.4966,127.054
2390,구룡마을 입구 (래미안블레스티지 아파트),강남구,10,37.4796,127.065
1017,맥도날드(길동),강동구,20,37.5355,127.145
1054,말우물 어린이 공원,강동구,10,37.56,127.17
1059,레미안 강동팰리스(102동),강동구,15,37.5382,127.132
1013,강동구청역 1번 출입구,강동구,15,37.5308,127.121
1049,강일동 10단지 아파트,강동구,10,37.5612,127.18
1062,고덕숲 아이파크 2,강동구,15,37.5511,127.163
1010,강동세무서,강동구,20,37.5345,127.138
1040,강일동 에너지 마루,강동구,10,37.5672,127.163
1047,건강보험 강동지사kt,강동구,10,37.5364,127.137
1007,사동 선사유적지,강동구,16,37.5591,127.131
1037,강일 6단지,강동구,10,37.5626,127.178
1003,해공도서관앞,강동구,20,37.5439,127.125
